,count,mean,median,std,min,max
Raw,115,-0.0014342641042327112,-0.0001873224165654,0.04040173996560785,-0.1966722075715322,0.2124022359061474
IQR filtered,106,-3.8565365015831675e-05,-0.0001002859830564804,0.009398416964718012,-0.0218599479107206,0.0257079558955734
Z filtered,110,-7.750563167879752e-05,-0.0001002859830564804,0.011008666718901449,-0.0339993077922243,0.0319515739490294
Winsorized (5–95),115,-0.00025094101500171896,-0.0001873224165654,0.010576797130775336,-0.02059038092486168,0.020796503334505653
